id	junction_width	type
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
1d5b822e-5c16-4c63-a8af-bc1083a1f46f	155291	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
a9f470fe-8ab7-44a0-b151-a0ea449c9829	63526	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	168637	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	168637	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	168637	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	168637	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6998	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6998	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6998	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6998	annotated
5751e481-661c-43cb-a46a-ef067a1e1973	171506	annotated
5751e481-661c-43cb-a46a-ef067a1e1973	171506	annotated
5751e481-661c-43cb-a46a-ef067a1e1973	171506	annotated
5751e481-661c-43cb-a46a-ef067a1e1973	171506	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	157842	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	157842	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	157842	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	157842	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	193389	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	193389	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	193389	annotated
5a376aa8-9586-4e74-a7a1-a982cc7cfb63	193389	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1811	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1811	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1811	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1811	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1811	annotated
bb0ce382-ddb9-4f59-bf78-853ee56264ed	113	annotated
bb0ce382-ddb9-4f59-bf78-853ee56264ed	113	annotated
bb0ce382-ddb9-4f59-bf78-853ee56264ed	113	annotated
bb0ce382-ddb9-4f59-bf78-853ee56264ed	113	annotated
bb0ce382-ddb9-4f59-bf78-853ee56264ed	113	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
543714c2-3b5e-4de0-af0a-2d7c46bfedb6	39	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	171511	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	171511	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	171511	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	171511	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6995	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6995	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6995	annotated
dd8cfbae-450e-4f77-b8a6-91a4b7692cc5	6995	annotated
7c0997ce-0ce2-4c12-8f89-9c0594dd0518	4951	annotated
7c0997ce-0ce2-4c12-8f89-9c0594dd0518	4951	annotated
7c0997ce-0ce2-4c12-8f89-9c0594dd0518	4951	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1807	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1807	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1807	annotated
b082a21a-fdf3-4976-bc99-eee85edd46e4	1807	annotated
