read	cluster	cluster_size	type
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	1	1	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	2	1	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	2	1	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	2	1	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	2	1	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	2	1	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	3	1	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	3	1	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	3	1	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	3	1	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	3	1	annotated
a21663f7-d279-4e54-98ea-a1264ac1ed7a	4	1	annotated
3b81bff1-d18b-44e6-96a8-c691e497729a	5	1	NA
63ef861c-b2f2-4635-8c89-ed07aa8d3497	6	1	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	6	1	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	6	1	annotated
9db7a9ce-232d-41a8-b66d-ee16888c0c21	7	2	NA
22c25f7d-dce4-44cf-b18f-ed0bebb74ef6	7	2	NA
7c61714d-04fb-4f55-82aa-425053e2b875	8	6	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	8	6	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	8	6	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	8	6	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	8	6	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	8	6	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	8	6	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	8	6	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	8	6	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	8	6	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	8	6	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	8	6	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	8	6	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	8	6	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	8	6	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	8	6	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	9	4	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	9	4	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	9	4	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	9	4	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	9	4	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	9	4	annotated
71246716-fff4-4d52-937c-9cb355d773ba	9	4	annotated
71246716-fff4-4d52-937c-9cb355d773ba	9	4	annotated
71246716-fff4-4d52-937c-9cb355d773ba	9	4	annotated
71246716-fff4-4d52-937c-9cb355d773ba	9	4	annotated
71246716-fff4-4d52-937c-9cb355d773ba	9	4	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	9	4	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	9	4	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	9	4	annotated
3023d60b-9e2b-4498-b564-cf03fd9c672a	9	4	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	10	1	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	10	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	11	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	11	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	11	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	11	1	annotated
71246716-fff4-4d52-937c-9cb355d773ba	12	1	annotated
71246716-fff4-4d52-937c-9cb355d773ba	12	1	annotated
71246716-fff4-4d52-937c-9cb355d773ba	12	1	annotated
71246716-fff4-4d52-937c-9cb355d773ba	12	1	annotated
71246716-fff4-4d52-937c-9cb355d773ba	12	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	13	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	14	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	15	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	15	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	15	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	15	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	15	1	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	16	2	annotated
288953af-3ff7-40d7-83e5-34a5e8027e5d	16	2	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	16	2	annotated
99c312ce-42ff-414e-abdd-10ec4bd24bbe	16	2	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	17	2	annotated
1840ff1c-e133-48e0-be3c-42dc6ec267ee	17	2	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	17	2	annotated
6d3f4ad7-5259-422a-a7a2-cf91cb23ba17	17	2	annotated
59446265-3cba-48f6-8889-abad1fca56d6	18	1	annotated
59446265-3cba-48f6-8889-abad1fca56d6	18	1	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	19	17	annotated
37719fc2-811b-40e7-bc1c-3d76395d7e62	19	17	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	19	17	annotated
0755e90e-88e3-43bf-83eb-089e3cfafed0	19	17	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	19	17	annotated
8b6de599-bd2f-4067-be93-de21ad2946d7	19	17	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	19	17	annotated
e47a777c-8eb0-4cb9-b28b-a82332def9ef	19	17	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	19	17	annotated
798aca46-3211-49f7-9542-cc3c773ff9bf	19	17	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	19	17	annotated
74f447a2-6cd7-4e78-a575-698d6e479e3c	19	17	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	19	17	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	19	17	annotated
167c460a-393e-42a9-ac33-16a6e68d3150	19	17	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	19	17	annotated
c728a948-52fa-496c-99eb-7a43e7b7f45d	19	17	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	19	17	annotated
1c3083b8-292d-4a28-bc49-9b1dea493e05	19	17	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	19	17	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	19	17	annotated
a3259483-4c3a-4b34-b34e-66f8ad90273e	19	17	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	19	17	annotated
9a4ef836-39c4-4a00-9326-1ca384a2f49c	19	17	annotated
100a5f30-3370-4d0d-a68d-95782262693d	19	17	annotated
100a5f30-3370-4d0d-a68d-95782262693d	19	17	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	19	17	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	19	17	annotated
0398bead-9eb2-41ad-a2e6-14ebed50662e	19	17	annotated
d1686341-d059-4e13-8789-8b602ada6aac	19	17	annotated
d1686341-d059-4e13-8789-8b602ada6aac	19	17	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	19	17	annotated
b6e2fac1-7bba-4f1a-984a-2c7d1fcc57d9	19	17	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	19	17	annotated
1f23d3d5-f9eb-44e8-9db5-d09b6866b4cf	19	17	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	19	17	annotated
2dce2337-0206-44cc-bb6e-c667e08f4d3f	19	17	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	20	1	annotated
a94ec439-769f-45c6-aa77-c7cefc81f823	20	1	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	21	1	annotated
bd7085d0-3283-4693-80c2-6b218bdf913d	21	1	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	22	1	annotated
ba64b9a9-a512-4113-ae20-94b3f134173f	22	1	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	23	1	annotated
ee64b789-5ed1-4975-8386-6eda8cd78a5d	23	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	24	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	24	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	24	1	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	24	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
da830286-cf3f-4014-941e-55cb7164b7d9	25	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	26	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	27	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	27	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	27	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	27	1	annotated
ef876cde-d5a9-4fbc-b496-aaa88186dde9	27	1	annotated
9e9c15c1-7950-4ff6-866f-2ab98d704696	28	2	annotated
9e9c15c1-7950-4ff6-866f-2ab98d704696	28	2	annotated
b94c246f-928b-4fa3-b00b-cd855d09d56c	28	2	annotated
b94c246f-928b-4fa3-b00b-cd855d09d56c	28	2	annotated
5bd8ecc7-936b-4f34-ad40-e8c3a9f10597	29	1	annotated
5bd8ecc7-936b-4f34-ad40-e8c3a9f10597	29	1	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	30	1	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	30	1	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	30	1	annotated
23678691-1a6f-4f06-ad72-b4fbc4240b5e	30	1	annotated
2572fa06-7ff2-4f50-8496-63bd8a995f06	31	1	annotated
