id	junction_width	type
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
0619a461-c4ce-4ab8-aca2-2bd7eb933a8a	250	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	583	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	583	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	583	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	583	annotated
17167d72-ddb7-4416-a371-9bbf4ba23753	583	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	782	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	782	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	782	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	782	annotated
0011a190-3daa-4398-acf5-b8a0fb6ae942	782	annotated
a21663f7-d279-4e54-98ea-a1264ac1ed7a	733	annotated
3b81bff1-d18b-44e6-96a8-c691e497729a	174	NA
63ef861c-b2f2-4635-8c89-ed07aa8d3497	290	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	290	annotated
63ef861c-b2f2-4635-8c89-ed07aa8d3497	290	annotated
9db7a9ce-232d-41a8-b66d-ee16888c0c21	104	NA
22c25f7d-dce4-44cf-b18f-ed0bebb74ef6	262	NA
7c61714d-04fb-4f55-82aa-425053e2b875	97	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	97	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	223	annotated
7c61714d-04fb-4f55-82aa-425053e2b875	223	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
939b0b7b-0c58-4a9e-b8d2-f1d6985424b1	435	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
5e6cc3e6-8db3-4f31-a1b8-cb602a9906dc	334	annotated
