seqnames	strand	qwidth	start	end	width	nbrJunctions	read	flag	rname	pos	mapq	NM	nbrM	nbrI	nbrD	nbrN	nbrS	nbrH	nbrP	nbrX	readLength	alignedLength	nbrPrimaryAlignments	nbrSecondaryAlignments	nbrSupplementaryAlignments
ENST00000390424.2	+	565	86	348	263	0	0059ac56-1582-4626-927d-26d3592f8046	0	ENST00000390424.2	86	60	12	259	5	4	0	301	0	0	0	565	264	1	0	0
ENST00000622028.1	+	2444	47	350	304	0	3452ebe6-e42f-445e-abff-dd4086f9d24c	0	ENST00000622028.1	47	58	28	297	12	7	0	2135	0	0	0	2444	309	1	0	0
ENST00000622410.2	-	2320	222	353	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	16	ENST00000622410.2	222	1	10	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000632151.1	-	2320	260	391	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	272	ENST00000632151.1	260	0	13	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000633426.1	+	2423	15	571	557	0	2587e324-cc19-49a3-b36f-a2648559901d	0	ENST00000633426.1	15	0	214	539	123	18	0	1761	0	0	0	2423	662	1	4	0
ENST00000633147.1	-	2146	258	412	155	0	b33a8216-686d-446a-adea-88f36385776f	16	ENST00000633147.1	258	1	23	150	15	5	0	1981	0	0	0	2146	165	1	4	0
ENST00000631379.1	-	2320	286	417	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	272	ENST00000631379.1	286	0	11	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000633350.1	-	2146	263	417	155	0	b33a8216-686d-446a-adea-88f36385776f	272	ENST00000633350.1	263	0	26	151	14	4	0	1981	0	0	0	2146	165	1	4	0
ENST00000390605.2	-	2146	258	410	153	0	b33a8216-686d-446a-adea-88f36385776f	272	ENST00000390605.2	258	0	23	148	15	5	0	1983	0	0	0	2146	163	1	4	0
ENST00000438142.3	-	2320	297	428	132	0	ca1fad9f-b28c-4f7f-bc97-0836ac8e489a	272	ENST00000438142.3	297	0	13	129	4	3	0	2187	0	0	0	2320	133	1	9	0
ENST00000390601.3	+	2423	5	473	469	0	2587e324-cc19-49a3-b36f-a2648559901d	256	ENST00000390601.3	5	0	194	451	118	18	0	1854	0	0	0	2423	569	1	4	0
ENST00000390289.2	-	632	189	371	183	0	1f9ed49c-2a80-4d80-96ad-55698a407a28	16	ENST00000390289.2	189	60	23	173	1	10	0	458	0	0	0	632	174	1	0	0
ENST00000390627.3	+	2423	15	571	557	0	2587e324-cc19-49a3-b36f-a2648559901d	256	ENST00000390627.3	15	0	214	539	123	18	0	1761	0	0	0	2423	662	1	4	0
